"user_id";"signup_date";"onboarding_date";"activation_date";"trial_start_date";"conversion_date";"country";"device";"age_clean";"acquisition_channel";"signed_up";"completed_onboarding";"activated_core_feature";"started_trial";"converted_to_paid";"active_after_30_days";"plan_type";"subscription_revenue";"marketing_spend_cleaned"
100020;"2024-10-11";"2024-10-15";"2024-10-15";"";"";"Australia";"Mobile";39;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100021;"";"";"";"";"";"Unknown";"Desktop";16;"Direct";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100022;"";"";"";"";"";"United Kingdom";"Desktop";38;"Direct";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100023;"2025-04-01";"2025-01-04";"";"";"";"Canada";"Mobile";28;"Direct";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100024;"2025-11-24";"2025-11-24";"2025-11-27";"";"";"United Kingdom";"Desktop";46;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100025;"2025-12-13";"";"";"";"";"Canada";"Desktop";44;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;5.77
100026;"2024-08-17";"2024-08-21";"2024-08-26";"";"";"India";"Mobile";19;"Referral";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100027;"2024-06-20";"2024-06-24";"2024-06-25";"";"";"Germany";"Desktop";31;"Email Campaign";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;9.71
100028;"2024-07-16";"2024-07-20";"2024-07-25";"";"";"Australia";"Mobile";0;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;10.93
100029;"2025-03-11";"2025-03-15";"2025-03-16";"";"";"United Kingdom";"Desktop";26;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100030;"2025-01-30";"2025-02-01";"";"";"";"United Kingdom";"Mobile";26;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.68
100031;"2025-02-14";"2025-02-17";"2025-02-18";"";"";"United States";"Mobile";47;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;15.42
100032;"";"";"";"";"";"United States";"Mobile";33;"Email Campaign";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;15.67
100033;"2025-09-07";"2025-08-09";"2025-09-09";"";"";"United States";"Unknown";30;"Social Media";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100034;"2025-03-09";"";"";"";"";"United States";"Unknown";26;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100035;"2024-07-28";"";"";"";"";"Australia";"Desktop";25;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.64
100036;"2024-03-28";"2024-03-28";"2024-04-02";"";"";"Canada";"Mobile";27;"Social Media";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100037;"2024-05-25";"2024-05-26";"2024-05-30";"";"";"Australia";"Desktop";33;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;2.81
100038;"2025-05-06";"2025-06-05";"2025-05-10";"2025-05-18";"";"United States";"Mobile";33;"Social Media";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100039;"";"";"";"";"";"United States";"Mobile";39;"Organic Search";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100040;"";"";"";"";"";"India";"Desktop";22;"Referral";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100041;"2025-08-26";"2025-08-27";"2025-08-29";"2025-08-30";"";"United States";"Desktop";38;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100042;"2024-06-29";"2024-01-07";"2024-07-06";"2024-07-10";"2024-07-11";"Germany";"Mobile";29;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Pro";79;16.85
100043;"2025-04-19";"";"";"";"";"India";"Mobile";34;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;14.15
100044;"2024-01-12";"2024-12-01";"2024-12-03";"2024-12-12";"";"United States";"Mobile";47;"Paid Ads";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100045;"2025-04-25";"2025-04-29";"";"";"";"Germany";"Mobile";46;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100046;"2025-08-29";"";"";"";"";"India";"Tablet";42;"Social Media";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100047;"2025-09-19";"2025-09-22";"";"";"";"Unknown";"Unknown";23;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;33.79
100048;"2024-09-03";"2024-05-09";"";"";"";"Australia";"Mobile";39;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100049;"2025-02-24";"2025-02-25";"2025-03-02";"";"";"United Kingdom";"Mobile";30;"Direct";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100050;"2025-10-17";"2025-10-19";"";"";"";"Australia";"Desktop";39;"Referral";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100051;"2025-11-17";"2025-11-21";"2025-11-21";"";"";"United States";"Desktop";16;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100052;"2024-08-05";"2024-08-07";"2024-08-08";"2024-08-16";"2024-08-17";"India";"Tablet";30;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Pro";79;4.76
100053;"2025-03-28";"2025-03-30";"";"";"";"India";"Desktop";16;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100054;"";"";"";"";"";"India";"Desktop";48;"Organic Search";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100055;"2024-12-12";"2024-12-14";"";"";"";"Australia";"Mobile";41;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100056;"2025-01-31";"2025-02-01";"2025-02-05";"";"";"United States";"Desktop";35;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100057;"";"";"";"";"";"Canada";"Desktop";27;"Organic Search";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100058;"2024-08-25";"2024-08-29";"";"";"";"United States";"Tablet";31;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;10.01
100059;"2024-12-17";"2024-12-20";"2024-12-23";"2024-12-23";"2024-12-31";"United States";"Desktop";34;"Organic Search";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Pro";79;0.0
100060;"2025-05-14";"2025-05-18";"2025-05-20";"";"";"India";"Desktop";31;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100061;"2024-07-13";"2024-07-13";"2024-07-13";"";"";"Australia";"Tablet";28;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;13.12
100062;"2024-07-09";"2024-09-08";"2024-09-14";"2024-09-23";"";"United Kingdom";"Mobile";36;"Referral";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100063;"2024-09-11";"2024-09-15";"2024-09-21";"2024-09-27";"";"India";"Desktop";27;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100064;"2025-05-28";"2025-06-01";"2025-05-06";"2025-06-09";"";"Germany";"Desktop";27;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;11.95
100065;"2025-12-18";"2025-12-18";"";"";"";"United Kingdom";"Tablet";34;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100066;"2024-12-30";"2025-01-03";"";"";"";"United States";"Desktop";19;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100067;"2025-04-07";"2025-04-08";"";"";"";"United States";"Desktop";33;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100068;"2025-04-15";"";"";"";"";"United States";"Mobile";37;"Direct";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100069;"2025-01-31";"2025-01-31";"2025-01-02";"2025-02-04";"";"India";"Desktop";41;"Paid Ads";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;6.81
100070;"2025-07-25";"2025-07-27";"2025-07-28";"2025-08-01";"";"United States";"Desktop";46;"Paid Ads";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;16.7
100071;"2024-08-07";"2024-08-10";"2024-08-13";"";"";"Unknown";"Desktop";31;"Direct";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100072;"2025-02-02";"2025-02-05";"2025-02-10";"";"";"United States";"Desktop";32;"Social Media";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100073;"2024-11-20";"2024-11-22";"";"";"";"Australia";"Tablet";20;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;4.61
100074;"2024-09-19";"2024-09-19";"";"";"";"United States";"Desktop";20;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;14.2
100075;"2024-04-17";"2024-04-18";"";"";"";"United States";"Desktop";26;"Email Campaign";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;2.67
100076;"2024-04-30";"2024-04-30";"";"";"";"India";"Mobile";16;"Direct";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100077;"2024-07-23";"2024-07-26";"2024-07-27";"2024-04-08";"2024-08-15";"Australia";"Unknown";0;"Organic Search";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Basic";29;0.0
100078;"2025-09-19";"2025-09-21";"2025-09-22";"2025-09-25";"";"Canada";"Mobile";28;"Social Media";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100079;"2024-11-12";"2024-11-16";"2024-11-19";"2024-11-22";"";"United States";"Mobile";30;"Social Media";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100080;"2025-01-09";"2025-01-12";"2025-01-15";"";"";"United States";"Unknown";0;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100081;"2024-08-24";"2024-08-28";"";"";"";"India";"Mobile";31;"Email Campaign";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;7.26
100082;"2024-12-03";"";"";"";"";"Australia";"Desktop";0;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;8.08
100083;"2025-10-25";"2025-10-29";"2025-10-29";"";"";"India";"Desktop";21;"Social Media";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100084;"2025-02-04";"2025-05-02";"2025-02-08";"";"";"Australia";"Desktop";31;"Direct";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100085;"2025-02-23";"";"";"";"";"United States";"Desktop";22;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;7.91
100086;"2025-06-16";"";"";"";"";"United States";"Tablet";31;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100087;"2025-12-01";"";"";"";"";"Australia";"Desktop";34;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;5.02
100088;"2025-03-15";"";"";"";"";"United States";"Mobile";0;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;3.94
100089;"2024-12-10";"";"";"";"";"Australia";"Mobile";34;"Social Media";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100090;"2025-02-28";"";"";"";"";"United States";"Desktop";28;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100091;"2024-02-27";"2024-01-03";"";"";"";"United States";"Mobile";28;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100092;"2025-03-14";"2025-03-17";"2025-03-17";"";"";"Germany";"Mobile";48;"Direct";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100093;"2024-12-26";"2024-12-27";"";"";"";"United Kingdom";"Tablet";20;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;5.68
100094;"2024-07-09";"2024-10-09";"2024-09-13";"";"";"United Kingdom";"Mobile";25;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;2.4
100095;"2024-07-06";"2024-07-06";"2024-07-06";"";"";"Germany";"Desktop";36;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;5.0
100096;"";"";"";"";"";"United States";"Desktop";42;"Social Media";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100097;"2024-08-19";"";"";"";"";"Australia";"Mobile";23;"Referral";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100098;"2025-07-17";"2025-07-20";"";"";"";"United States";"Desktop";42;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;18.6
100099;"2025-06-27";"2025-06-29";"";"";"";"India";"Desktop";28;"Email Campaign";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;12.17
100100;"";"";"";"";"";"India";"Desktop";34;"Organic Search";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100101;"2024-08-05";"";"";"";"";"United States";"Desktop";28;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;3.68
100102;"2024-10-16";"2024-10-19";"";"";"";"India";"Mobile";22;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100103;"2024-10-29";"";"";"";"";"United States";"Desktop";41;"Direct";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100104;"2024-05-31";"2024-03-06";"2024-06-05";"2024-06-13";"2024-06-27";"United States";"Mobile";23;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Basic";29;8.94
100105;"2025-09-05";"";"";"";"";"United States";"Mobile";33;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100106;"2025-11-16";"";"";"";"";"United States";"Unknown";31;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100107;"2025-04-13";"2025-04-13";"2025-04-13";"";"";"United Kingdom";"Mobile";39;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100108;"2025-05-20";"";"";"";"";"United Kingdom";"Desktop";16;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100109;"2025-06-04";"2025-05-06";"";"";"";"India";"Mobile";21;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;14.97
100110;"2025-04-27";"2025-04-27";"";"";"";"United Kingdom";"Desktop";45;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;5.55
100111;"2024-12-09";"2024-11-12";"2024-12-17";"";"";"Germany";"Desktop";21;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100112;"2025-07-02";"";"";"";"";"United States";"Mobile";47;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100113;"2024-04-27";"2024-04-29";"2024-05-04";"";"";"Germany";"Desktop";43;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100114;"2025-07-21";"2025-07-23";"2025-07-27";"2025-07-31";"";"United States";"Tablet";35;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100115;"2024-12-30";"2025-01-02";"2025-04-01";"";"";"Australia";"Desktop";36;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100116;"2025-05-01";"2025-05-04";"";"";"";"United States";"Desktop";40;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100117;"2024-11-08";"2024-11-09";"2024-11-11";"2024-11-18";"";"Germany";"Tablet";23;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100118;"2025-08-21";"";"";"";"";"United States";"Tablet";24;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100119;"2025-04-28";"2025-02-05";"";"";"";"Australia";"Unknown";30;"Referral";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100120;"2025-05-13";"";"";"";"";"Australia";"Tablet";30;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100121;"2025-01-25";"2025-01-25";"2025-01-30";"";"";"United States";"Desktop";39;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;7.14
100122;"2025-06-18";"2025-06-19";"2025-06-20";"";"";"Australia";"Mobile";21;"Email Campaign";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;8.76
100123;"2025-09-06";"2025-09-07";"2025-09-10";"";"";"Germany";"Desktop";37;"Email Campaign";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;7.29
100124;"2024-12-07";"2024-12-07";"2024-12-11";"";"";"United Kingdom";"Mobile";27;"Referral";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100125;"2024-12-31";"";"";"";"";"United States";"Mobile";28;"Social Media";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100126;"2024-05-08";"2024-05-08";"";"";"";"United States";"Desktop";29;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;3.42
100127;"2024-07-08";"2024-07-12";"2024-07-18";"2024-07-21";"";"Canada";"Desktop";18;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;2.29
100128;"2025-01-17";"2025-01-20";"2025-01-26";"";"";"United States";"Mobile";0;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;8.5
100129;"2025-10-16";"2025-10-18";"";"";"";"India";"Tablet";17;"Social Media";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100130;"2024-10-14";"2024-10-14";"2024-10-16";"2024-10-23";"";"Germany";"Mobile";31;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100131;"2025-04-24";"2025-04-28";"2025-04-28";"";"";"Unknown";"Unknown";44;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;18.45
100132;"2024-08-16";"2024-08-18";"2024-08-22";"2024-08-24";"";"United States";"Tablet";31;"Email Campaign";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;12.97
100133;"2024-06-21";"2024-06-23";"2024-06-25";"2024-07-01";"";"Germany";"Desktop";32;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100134;"2025-01-09";"2025-01-11";"";"";"";"United States";"Tablet";28;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100135;"";"";"";"";"";"United States";"Mobile";22;"Organic Search";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100136;"2024-10-15";"2024-10-16";"";"";"";"Germany";"Mobile";45;"Email Campaign";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;1.43
100137;"2025-10-17";"";"";"";"";"Canada";"Desktop";41;"Referral";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100138;"2025-04-26";"2025-04-29";"2025-05-01";"";"";"Germany";"Unknown";39;"Referral";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100139;"2025-03-04";"2025-03-07";"2025-03-12";"";"";"United States";"Unknown";35;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;6.53
100140;"2025-06-27";"";"";"";"";"India";"Desktop";26;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100141;"2025-07-03";"";"";"";"";"Australia";"Desktop";23;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;3.56
100142;"2024-10-13";"2024-10-16";"2024-10-21";"";"";"United States";"Mobile";32;"Organic Search";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100143;"2024-12-20";"2024-12-24";"";"";"";"United States";"Desktop";47;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100144;"2025-10-17";"";"";"";"";"United States";"Mobile";31;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;7.26
100145;"2025-03-07";"2025-03-09";"2025-03-11";"2025-03-11";"";"Unknown";"Unknown";24;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100146;"";"";"";"";"";"United States";"Desktop";30;"Referral";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100147;"2025-04-13";"2025-04-16";"2025-04-16";"";"";"United Kingdom";"Desktop";32;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;1.07
100148;"2025-04-18";"2025-04-19";"";"";"";"United States";"Desktop";32;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100149;"2024-07-01";"";"";"";"";"United States";"Mobile";24;"Referral";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100150;"2025-02-23";"2025-02-26";"2025-02-27";"";"";"Unknown";"Mobile";29;"Social Media";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100151;"2024-12-03";"2024-12-04";"2024-12-08";"";"";"Canada";"Mobile";50;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;3.35
100152;"2025-03-10";"2025-03-14";"2025-03-15";"2025-03-23";"";"Australia";"Desktop";0;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100153;"2024-07-22";"2024-07-22";"";"";"";"Unknown";"Desktop";23;"Paid Ads";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;4.7
100154;"2025-05-10";"";"";"";"";"United Kingdom";"Desktop";0;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;7.09
100155;"2024-02-17";"2024-02-21";"2024-02-27";"";"";"India";"Mobile";24;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;22.33
100156;"2025-10-10";"2025-10-10";"2025-10-15";"2025-10-17";"";"India";"Mobile";22;"Social Media";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
