user_id,signup_date_raw,acquisition_channel,country_raw,device_raw,age,marketing_spend,session_count,visited_site,signed_up,completed_onboarding,onboarding_date_raw,activated_core_feature,activation_date_raw,started_trial,trial_start_date_raw,converted_to_paid,conversion_date_raw,plan_type,active_after_30_days
106726,"Feb 19, 2025",Referral,America,PC,36,0,5,Yes,Yes,Yes,02/22/2025,Yes,24-02-2025,Yes,01-03-2025,No,,Enterprise,
105474,16-10-2025,Social Media,India,Desktop,37,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
106609,09-06-2025,Organic Search,United States,PC,49,0,11,Yes,Yes,Yes,13-06-2025,Yes,13-06-2025,No,,No,,Pro,
106703,,Organic Search,UK,TABLET,29,0,5,Yes,No,No,,No,,No,,No,,Basic,
106328,"Aug 04, 2025",Organic Search,IN,PC,54,0,9,Yes,Yes,No,,No,,No,,No,,Pro,
106909,05-11-2025,Organic Search,AU,mobile,51,0,5,Yes,Yes,Yes,14-05-2025,No,,No,,No,,Enterprise,
104668,03-04-2025,Organic Search,Germany,,26,0,,Yes,Yes,Yes,04-04-2025,Yes,04-08-2025,Yes,08-04-2025,Yes,04/16/2025,Enterprise,Yes
101249,31-12-2024,Social Media,CA,TABLET,34,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
104896,04-07-2025,Organic Search,USA,mobile,45,0,5,Yes,Yes,Yes,07-07-2025,Yes,08-07-2025,Yes,15-07-2025,Yes,07/24/2025,Pro,Yes
101713,29-12-2025,Direct,DE,MOBILE,52,0,3,Yes,Yes,Yes,01-01-2026,Yes,"Jan 01, 2026",Yes,08-01-2026,No,,Basic,
101209,17-03-2024,Organic Search,United states,Tablet,17,0,4,Yes,Yes,Yes,03/20/2024,Yes,25-03-2024,Yes,"Apr 03, 2024",Yes,17-04-2024,Basic,Yes
100751,04/30/2024,Social Media,Deutschland,,20,0,7,Yes,Yes,Yes,"May 02, 2024",No,,No,,No,,Basic,
106922,06-12-2025,Direct,australia,Mobile Phone,27,0,9,Yes,Yes,No,,No,,No,,No,,Pro,
103160,"Jun 21, 2024",Paid Ads,us,phone,39,11.53,5,Yes,Yes,Yes,06/25/2024,Yes,26-06-2024,Yes,27-06-2024,No,,Basic,
100744,,Organic Search,Deutschland,Mobile Phone,23,0,5,Yes,No,No,,No,,No,,No,,Pro,
102492,26-01-2025,Social Media,U.K.,Mobile,32,0,3,Yes,Yes,Yes,26-01-2025,Yes,30-01-2025,Yes,07-02-2025,No,,Pro,
102468,31-03-2025,Organic Search,,desktop,,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
105272,10/27/2024,Email Campaign,United states,MOBILE,34,14.06,9,Yes,Yes,Yes,28-10-2024,No,,No,,No,,Enterprise,
105292,"Jun 26, 2025",Organic Search,Canada,Desktop,16,0,7,Yes,Yes,Yes,29-06-2025,Yes,07-04-2025,No,,No,,Basic,
105293,31-05-2025,Paid Ads,United states,DESKTOP,34,24.87,7,Yes,Yes,No,,No,,No,,No,,Pro,
104805,"May 23, 2025",Email Campaign,U.S.A,MOBILE,34,5.72,5,Yes,Yes,Yes,25-05-2025,Yes,27-05-2025,Yes,30-05-2025,No,,Enterprise,
104017,07/13/2024,Paid Ads,United States,Mobile,50,9.39,6,Yes,Yes,Yes,13-07-2024,Yes,17-07-2024,Yes,"Jul 18, 2024",No,,Basic,
101311,19-11-2025,Organic Search,United Kingdom,desktop,47,0,4,Yes,Yes,Yes,"Nov 20, 2025",No,,No,,No,,Basic,
106160,07/18/2024,Direct,india,desktop,16,0,9,Yes,Yes,Yes,19-07-2024,Yes,22-07-2024,Yes,30-07-2024,Yes,"Aug 13, 2024",Basic,No
103081,30-09-2025,Organic Search,U.K.,MOBILE,46,0,2,Yes,Yes,Yes,04-10-2025,Yes,10-06-2025,Yes,10-10-2025,Yes,11-10-2025,Pro,No
101794,09-10-2024,Organic Search,United Kingdom,Mobile,29,0,7,Yes,Yes,Yes,10-10-2024,Yes,11-10-2024,Yes,10/17/2024,Yes,24-10-2024,Enterprise,No
101464,12-11-2024,Referral,USA,PC,28,0,6,Yes,Yes,No,,No,,No,,No,,Basic,
103376,"Dec 08, 2024",Organic Search,Canada,mobile,27,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
106242,"Jun 02, 2025",Social Media,USA,iPad,32,0,5,Yes,Yes,Yes,02-06-2025,Yes,06-06-2025,Yes,11-06-2025,No,,Basic,
103630,15-10-2025,Paid Ads,U.S.A,DESKTOP,34,2.53,,Yes,Yes,Yes,18-10-2025,Yes,10/20/2025,Yes,"Oct 27, 2025",Yes,"Nov 04, 2025",Basic,Yes
103777,,Organic Search,,iPad,39,0,5,Yes,No,No,,No,,No,,No,,Basic,
105471,08-05-2025,Email Campaign,Can.,PC,24,-12.91,-1,Yes,Yes,Yes,11-05-2025,No,,No,,No,,Pro,
104296,,Organic Search,USA,desktop,37,0,2,Yes,No,No,,No,,No,,No,,Pro,
102029,09/24/2024,Paid Ads,USA,mobile,25,26.23,4,Yes,Yes,Yes,"Sep 27, 2024",Yes,02-10-2024,No,,No,,Basic,
107139,07-10-2024,Organic Search,United States,TABLET,34,0,6,Yes,Yes,No,,No,,No,,No,,Basic,
107132,"Jan 08, 2025",Social Media,us,desktop,26,0,,Yes,Yes,No,,No,,No,,No,,Basic,
101180,10-11-2024,Paid Ads,Deutschland,MOBILE,34,1.16,5,Yes,Yes,No,,No,,No,,No,,Basic,
100413,"Jun 02, 2024",Organic Search,Aus,Tablet,36,0,10,Yes,Yes,Yes,03-06-2024,Yes,06-09-2024,Yes,"Jun 18, 2024",No,,Basic,
103920,07-07-2024,Referral,U.S.A,,38,0,4,Yes,Yes,Yes,07-11-2024,Yes,"Jul 16, 2024",Yes,22-07-2024,No,,Basic,
102211,01/30/2025,Social Media,Germany,Mobile,37,0,4,Yes,Yes,Yes,02-03-2025,Yes,02-06-2025,Yes,02/14/2025,No,,,
101678,31-05-2025,Organic Search,UK,Mobile,18,0,5,Yes,Yes,Yes,"May 31, 2025",Yes,31-05-2025,Yes,05-06-2025,No,,Pro,
101288,24-05-2025,Email Campaign,United states,PC,16,20,2,Yes,Yes,Yes,26-05-2025,No,,No,,No,,Basic,
104216,09-01-2025,Organic Search,U.S.A,phone,33,0,3,Yes,Yes,Yes,13-01-2025,Yes,18-01-2025,Yes,21-01-2025,No,,Basic,
105354,,Referral,AU,iPad,49,0,5,Yes,No,No,,No,,No,,No,,Basic,
104429,"Nov 26, 2024",Social Media,DE,MOBILE,42,0,7,Yes,Yes,Yes,29-11-2024,Yes,29-11-2024,Yes,07-12-2024,No,,Pro,
103694,20-08-2025,Social Media,canada,desktop,34,0,-1,Yes,Yes,Yes,21-08-2025,Yes,08/26/2025,No,,No,,Pro,
103786,05-06-2024,Social Media,uk,Mobile,27,0,7,Yes,Yes,Yes,06-06-2024,No,,No,,No,,Pro,
105899,15-02-2025,Email Campaign,CA,Tablet,33,-12.79,6,Yes,Yes,Yes,02/17/2025,Yes,"Feb 19, 2025",Yes,19-02-2025,No,,Basic,
100373,18-08-2024,Organic Search,india,Desktop,,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
104867,"Sep 14, 2025",Organic Search,,DESKTOP,30,0,6,Yes,Yes,No,,No,,No,,No,,,
104250,10-06-2024,Direct,United Kingdom,MOBILE,40,0,3,Yes,Yes,Yes,09-10-2024,Yes,10-10-2024,No,,No,,Pro,
106662,22-05-2025,Organic Search,Canada,Desktop,48,0,6,Yes,Yes,Yes,23-05-2025,No,,No,,No,,Pro,
103015,19-01-2025,Organic Search,U.K.,desktop,29,0,6,Yes,Yes,Yes,23-01-2025,Yes,01/25/2025,Yes,01/30/2025,Yes,01-02-2025,Basic,Yes
106293,07-06-2025,Organic Search,us,Tab,38,0,3,Yes,Yes,No,,No,,No,,No,,,
105898,19-08-2024,Direct,IND,,35,0,11,Yes,Yes,Yes,20-08-2024,Yes,26-08-2024,No,,No,,Basic,
103520,03-02-2025,Paid Ads,India,phone,,11.43,7,Yes,Yes,No,,No,,No,,No,,Enterprise,
103831,09/19/2025,Organic Search,Germany,Desktop,32,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
104209,23-01-2025,Paid Ads,germany,Desk top,24,21.78,2,Yes,Yes,Yes,23-01-2025,Yes,28-01-2025,No,,No,,Basic,
100143,20-12-2024,Organic Search,us,DESKTOP,47,0,7,Yes,Yes,Yes,24-12-2024,No,,No,,No,,Pro,
103570,03-03-2025,Referral,UK,iPad,42,0,6,Yes,Yes,Yes,05-03-2025,No,,No,,No,,Pro,
105478,23-12-2024,Organic Search,Canada,Desk top,16,0,7,Yes,Yes,Yes,24-12-2024,Yes,28-12-2024,Yes,29-12-2024,Yes,"Jan 01, 2025",Pro,Yes
103334,"Apr 26, 2025",Paid Ads,America,MOBILE,34,5.24,6,Yes,Yes,Yes,"Apr 28, 2025",No,,No,,No,,Pro,
104788,02/19/2025,Social Media,U.S.A,iPad,20,0,3,Yes,Yes,Yes,21-02-2025,Yes,22-02-2025,Yes,"Feb 27, 2025",No,,Basic,
103762,03/29/2024,Paid Ads,germany,desktop,50,4.38,6,Yes,Yes,Yes,01-04-2024,No,,No,,No,,Basic,
106343,,Organic Search,U.S.A,DESKTOP,28,0,7,Yes,No,No,,No,,No,,No,,Basic,
101393,17-04-2025,Social Media,USA,MOBILE,27,0,2,Yes,Yes,Yes,20-04-2025,Yes,23-04-2025,No,,No,,Basic,
100094,09-07-2024,Paid Ads,U.K.,MOBILE,25,2.4,4,Yes,Yes,Yes,09-10-2024,Yes,13-09-2024,No,,No,,Pro,
102726,28-08-2025,Direct,us,DESKTOP,19,0,7,Yes,Yes,No,,No,,No,,No,,Basic,
101942,09-06-2024,Social Media,America,Mobile Phone,48,0,3,Yes,Yes,Yes,06-09-2024,No,,No,,No,,Enterprise,
103812,06-07-2025,Referral,U.S.A,Mobile,42,0,8,Yes,Yes,No,,No,,No,,No,,Pro,
105689,03-09-2024,Referral,United Kingdom,DESKTOP,16,0,3,Yes,Yes,Yes,05-09-2024,No,,No,,No,,Enterprise,
100200,26-03-2025,Paid Ads,CA,mobile,36,0.85,7,Yes,Yes,Yes,03/26/2025,Yes,31-03-2025,Yes,31-03-2025,No,,Basic,
101436,,Email Campaign,,PC,24,6.83,3,Yes,No,No,,No,,No,,No,,Basic,
104411,"Mar 22, 2025",Organic Search,Can.,Mobile Phone,30,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
102334,26-05-2024,Social Media,IN,TABLET,35,0,3,Yes,Yes,Yes,"May 28, 2024",No,,No,,No,,Basic,
102313,03/18/2025,Organic Search,Australia,DESKTOP,47,0,5,Yes,Yes,Yes,18-03-2025,No,,No,,No,,Basic,
100258,04-12-2025,Social Media,,Desktop,30,0,5,Yes,Yes,No,,No,,No,,No,,Pro,
104632,,Organic Search,Australia,MOBILE,36,,7,Yes,No,No,,No,,No,,No,,Basic,
103755,31-12-2024,Paid Ads,IN,Mobile,43,-7.66,2,Yes,Yes,No,,No,,No,,No,,Pro,
101487,21-07-2025,Organic Search,,desktop,16,0,2,Yes,Yes,Yes,21-07-2025,No,,No,,No,,Basic,
103255,20-10-2025,Social Media,uk,PC,17,0,7,Yes,Yes,Yes,"Oct 22, 2025",Yes,"Oct 24, 2025",Yes,27-10-2025,No,,Basic,
107110,,Referral,United States,Mobile Phone,49,0,7,Yes,No,No,,No,,No,,No,,Basic,
103260,,Referral,Canada,desktop,41,0,-1,Yes,No,No,,No,,No,,No,,Pro,
106842,26-04-2024,Referral,U.S.A,iPad,32,,6,Yes,Yes,Yes,26-04-2024,Yes,"Apr 28, 2024",Yes,04-05-2024,Yes,13-05-2024,Basic,Yes
103242,20-11-2025,Organic Search,us,mobile,34,0,9,Yes,Yes,Yes,"Nov 20, 2025",Yes,25-11-2025,No,,No,,Basic,
101403,03-05-2025,Direct,Canada,,34,,4,Yes,Yes,Yes,"May 07, 2025",Yes,"May 12, 2025",No,,No,,Basic,
103785,08-12-2024,Social Media,uk,PC,33,0,-1,Yes,Yes,Yes,09-12-2024,Yes,11-12-2024,Yes,12/18/2024,No,,Pro,
101725,,Social Media,Can.,PC,20,0,6,Yes,No,No,,No,,No,,No,,Pro,
106026,05/30/2024,Social Media,Deutschland,mobile,16,0,4,Yes,Yes,Yes,31-05-2024,Yes,02-06-2024,Yes,06-06-2024,No,,Basic,
106824,03-07-2025,Organic Search,UK,iPad,23,0,3,Yes,Yes,No,,No,,No,,No,,Basic,
100894,24-02-2025,Paid Ads,india,Desktop,29,8.87,6,Yes,Yes,No,,No,,No,,No,,Basic,
104772,,Organic Search,United states,mobile,28,0,9,Yes,No,No,,No,,No,,No,,Basic,
105747,12-01-2025,Paid Ads,us,Mobile,37,4.13,3,Yes,Yes,Yes,"Jan 16, 2025",Yes,17-01-2025,Yes,22-01-2025,No,,Basic,
104986,12-01-2025,Email Campaign,USA,MOBILE,42,,3,Yes,Yes,Yes,15-01-2025,No,,No,,No,,,
103981,,Organic Search,Deutschland,desktop,16,0,9,Yes,No,No,,No,,No,,No,,Pro,
100870,20-12-2024,Direct,us,PC,35,0,4,Yes,Yes,Yes,12/23/2024,Yes,"Dec 25, 2024",No,,No,,Pro,
100837,,Email Campaign,America,iPad,16,5.39,5,Yes,No,No,,No,,No,,No,,,
106664,25-12-2024,Social Media,Aus,Mobile Phone,30,0,5,Yes,Yes,No,,No,,No,,No,,Pro,
105380,05-02-2025,Organic Search,Can.,PC,16,0,7,Yes,Yes,Yes,09-02-2025,No,,No,,No,,Pro,
106258,07/22/2025,Referral,U.K.,phone,44,0,4,Yes,Yes,No,,No,,No,,No,,Enterprise,
103687,,Email Campaign,Aus,PC,27,7.82,3,Yes,No,No,,No,,No,,No,,Enterprise,
103731,29-06-2024,Organic Search,U.K.,PC,28,0,3,Yes,Yes,Yes,03-07-2024,Yes,"Jul 06, 2024",Yes,"Jul 13, 2024",Yes,26-07-2024,Pro,Yes
102075,17-10-2025,Organic Search,United Kingdom,Desktop,17,,3,Yes,Yes,No,,No,,No,,No,,Basic,
105998,"Aug 30, 2024",Organic Search,United States,Mobile,33,0,6,Yes,Yes,No,,No,,No,,No,,Pro,
105530,08/29/2024,Paid Ads,india,desktop,39,1.46,6,Yes,Yes,Yes,02-09-2024,No,,No,,No,,Basic,
103354,,Social Media,UK,Desk top,29,0,2,Yes,No,No,,No,,No,,No,,Pro,
101881,,Email Campaign,us,DESKTOP,42,1.38,2,Yes,No,No,,No,,No,,No,,,
104161,"May 26, 2025",Social Media,United states,DESKTOP,38,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
104118,07/30/2025,Paid Ads,us,PC,35,8.83,8,Yes,Yes,Yes,03-08-2025,Yes,07-08-2025,No,,No,,Basic,
103155,,Paid Ads,DE,PC,16,4.46,7,Yes,No,No,,No,,No,,No,,Pro,
101222,06-11-2025,Organic Search,germany,mobile,21,0,4,Yes,Yes,Yes,06/15/2025,No,,No,,No,,Basic,
102572,23-06-2024,Paid Ads,USA,phone,42,5.22,9,Yes,Yes,Yes,"Jun 27, 2024",No,,No,,No,,Basic,
100100,,Organic Search,IND,DESKTOP,34,0,7,Yes,No,No,,No,,No,,No,,Pro,
101510,14-11-2025,Paid Ads,uk,,31,3.29,5,Yes,Yes,Yes,16-11-2025,No,,No,,No,,Pro,
106304,10-07-2024,Paid Ads,U.S.A,desktop,42,7.26,9,Yes,Yes,No,,No,,No,,No,,Basic,
105183,,Organic Search,United Kingdom,phone,31,0,3,Yes,No,No,,No,,No,,No,,,
100831,,Email Campaign,U.S.A,Mobile,31,22.51,8,Yes,No,No,,No,,No,,No,,Basic,
100318,30-01-2024,Organic Search,Aus,MOBILE,17,0,6,Yes,Yes,Yes,31-01-2024,No,,No,,No,,Basic,
105393,11-12-2024,Paid Ads,United Kingdom,Mobile,31,,8,Yes,Yes,No,,No,,No,,No,,,
102611,"Dec 13, 2024",Paid Ads,U.K.,Tablet,32,25.17,1,Yes,Yes,Yes,15-12-2024,Yes,18-12-2024,Yes,24-12-2024,No,,Pro,
102521,30-04-2024,Paid Ads,Aus,Desktop,29,25.59,6,Yes,Yes,Yes,04/30/2024,Yes,05-05-2024,Yes,05-12-2024,No,,Pro,
100016,17-06-2024,Paid Ads,USA,DESKTOP,46,2.09,2,Yes,Yes,Yes,"Jun 18, 2024",Yes,06/19/2024,Yes,"Jun 26, 2024",No,,Basic,
101597,12-04-2025,Email Campaign,America,MOBILE,27,8.42,8,Yes,Yes,Yes,15-04-2025,No,,No,,No,,Pro,
106799,18-01-2025,Social Media,USA,PC,24,0,4,Yes,Yes,Yes,22-01-2025,Yes,24-01-2025,Yes,24-01-2025,No,,Pro,
101416,09-05-2025,Email Campaign,USA,Desk top,23,11.42,4,Yes,Yes,No,,No,,No,,No,,,
102517,02-11-2024,Paid Ads,UK,PC,17,15.71,5,Yes,Yes,No,,No,,No,,No,,Pro,
104168,14-09-2024,Paid Ads,germany,Mobile Phone,26,8.98,7,Yes,Yes,Yes,16-09-2024,Yes,"Sep 21, 2024",No,,No,,Pro,
106110,,Referral,us,Desk top,23,0,6,Yes,No,No,,No,,No,,No,,Basic,
101521,"Dec 25, 2024",Paid Ads,India,tablet,32,19.14,5,Yes,Yes,Yes,27-12-2024,Yes,"Jan 02, 2025",Yes,08-01-2025,No,,Pro,
104359,04-10-2025,Social Media,Aus,mobile,31,0,5,Yes,Yes,Yes,08-10-2025,Yes,13-10-2025,No,,No,,Basic,
100836,23-11-2025,Organic Search,uk,Mobile Phone,16,0,5,Yes,Yes,Yes,27-11-2025,Yes,28-11-2025,No,,No,,Basic,
101565,03/20/2024,Referral,America,Desktop,46,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
102404,17-03-2025,Email Campaign,U.K.,Mobile Phone,24,5.62,9,Yes,Yes,Yes,"Mar 18, 2025",Yes,23-03-2025,Yes,03/24/2025,No,,Basic,
104341,,Social Media,AU,MOBILE,24,0,8,Yes,No,No,,No,,No,,No,,Basic,
103901,07-10-2025,Referral,USA,Desk top,31,0,5,Yes,Yes,No,,No,,No,,No,,Pro,
102282,02-02-2025,Email Campaign,us,Tablet,26,7.52,4,Yes,Yes,No,,No,,No,,No,,Basic,
101025,13-03-2024,Email Campaign,Can.,MOBILE,42,17.19,7,Yes,Yes,No,,No,,No,,No,,Pro,
104166,02-04-2025,Organic Search,AU,Desk top,47,0,2,Yes,Yes,Yes,04-04-2025,No,,No,,No,,Pro,
103822,,Paid Ads,india,tablet,,17.26,4,Yes,No,No,,No,,No,,No,,Basic,
104370,"Feb 11, 2024",Organic Search,DE,Mobile Phone,30,,2,Yes,Yes,No,,No,,No,,No,,Pro,
106852,,Referral,Germany,Mobile Phone,33,0,2,Yes,No,No,,No,,No,,No,,Enterprise,
103287,"May 08, 2025",Email Campaign,U.K.,Mobile,45,0.85,6,Yes,Yes,Yes,09-05-2025,No,,No,,No,,Pro,
106555,16-09-2024,Organic Search,Canada,mobile,16,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
104464,27-07-2024,Social Media,germany,Tablet,16,0,5,Yes,Yes,Yes,30-07-2024,Yes,03-08-2024,Yes,"Aug 11, 2024",Yes,14-08-2024,Basic,No
106865,"Dec 09, 2024",Direct,canada,Mobile Phone,39,0,-1,Yes,Yes,Yes,12/13/2024,No,,No,,No,,Pro,
106232,"Jul 30, 2024",Social Media,America,,35,0,6,Yes,Yes,No,,No,,No,,No,,,
106085,05-05-2025,Referral,Can.,Mobile Phone,45,,4,Yes,Yes,No,,No,,No,,No,,Basic,
106057,23-09-2025,Direct,Deutschland,Desktop,21,0,4,Yes,Yes,Yes,26-09-2025,No,,No,,No,,Pro,
104308,07/26/2025,Organic Search,CA,Desktop,42,0,8,Yes,Yes,Yes,30-07-2025,Yes,05-08-2025,No,,No,,Pro,
104523,"Aug 08, 2024",Paid Ads,us,Desktop,25,17.04,5,Yes,Yes,Yes,08-08-2024,No,,No,,No,,Pro,
103423,23-07-2025,Organic Search,uk,Mobile,38,0,6,Yes,Yes,Yes,25-07-2025,Yes,07/28/2025,Yes,02-08-2025,No,,Basic,
106351,10-03-2025,Organic Search,India,tablet,29,0,7,Yes,Yes,Yes,11-03-2025,Yes,03-11-2025,Yes,03/18/2025,No,,Pro,
105812,26-09-2024,Organic Search,United States,desktop,27,0,,Yes,Yes,Yes,30-09-2024,Yes,10-02-2024,Yes,10-03-2024,Yes,10-12-2024,Pro,Yes
101047,,Organic Search,Germany,phone,33,0,3,Yes,No,No,,No,,No,,No,,Basic,
101876,22-01-2025,Paid Ads,UK,Mobile Phone,38,18.26,4,Yes,Yes,Yes,"Jan 25, 2025",Yes,"Jan 26, 2025",No,,No,,Basic,
102411,"Jul 25, 2025",Organic Search,uk,Desktop,23,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
105523,29-12-2024,Referral,canada,Desktop,43,0,4,Yes,Yes,No,,No,,No,,No,,Pro,
102320,"Jun 29, 2025",Referral,U.K.,Mobile,29,0,6,Yes,Yes,No,,No,,No,,No,,Pro,
104814,"Mar 08, 2025",Paid Ads,United States,Desktop,18,3.36,4,Yes,Yes,Yes,"Mar 12, 2025",No,,No,,No,,Pro,
100886,27-02-2025,Referral,United states,Mobile Phone,42,0,10,Yes,Yes,Yes,02-03-2025,No,,No,,No,,Basic,
101336,09-09-2025,Referral,Canada,MOBILE,33,0,3,Yes,Yes,Yes,"Sep 11, 2025",No,,No,,No,,Enterprise,
100090,28-02-2025,Organic Search,USA,Desk top,28,0,3,Yes,Yes,No,,No,,No,,No,,Pro,
103404,26-08-2024,Referral,IND,Desktop,26,0,2,Yes,Yes,Yes,30-08-2024,Yes,"Sep 05, 2024",Yes,13-09-2024,No,,Pro,
100722,05-12-2024,Referral,United States,mobile,32,0,6,Yes,Yes,No,,No,,No,,No,,Pro,
102805,08-03-2025,Direct,India,DESKTOP,25,0,4,Yes,Yes,Yes,08-03-2025,Yes,11-03-2025,No,,No,,Basic,
104775,,Social Media,America,phone,56,0,6,Yes,No,No,,No,,No,,No,,Basic,
101330,07-07-2024,Social Media,England,Desk top,29,0,6,Yes,Yes,Yes,"Jul 09, 2024",Yes,14-07-2024,Yes,"Jul 16, 2024",No,,Basic,
106063,06/13/2025,Organic Search,IN,desktop,20,0,6,Yes,Yes,Yes,17-06-2025,No,,No,,No,,Pro,
105194,02/24/2025,Paid Ads,U.S.A,mobile,53,15.82,4,Yes,Yes,Yes,02/24/2025,Yes,02/28/2025,No,,No,,Basic,
103157,"Sep 04, 2024",Paid Ads,U.S.A,Mobile Phone,16,3.21,,Yes,Yes,Yes,05-09-2024,Yes,06-09-2024,Yes,09-09-2024,No,,Enterprise,
102888,,Paid Ads,DE,DESKTOP,38,,4,Yes,No,No,,No,,No,,No,,Pro,
100009,06-01-2025,Direct,canada,phone,26,0,,Yes,Yes,No,,No,,No,,No,,Enterprise,
100603,06-06-2024,Social Media,canada,DESKTOP,,0,7,Yes,Yes,Yes,06-06-2024,Yes,"Jun 09, 2024",No,,No,,Pro,
103679,19-04-2025,Email Campaign,America,mobile,36,12.23,2,Yes,Yes,Yes,20-04-2025,Yes,21-04-2025,Yes,24-04-2025,No,,Pro,
107098,01-07-2024,Organic Search,us,DESKTOP,30,0,6,Yes,Yes,Yes,03-07-2024,No,,No,,No,,Basic,
102163,"Oct 21, 2025",Organic Search,U.S.A,Mobile Phone,41,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
104739,"Sep 07, 2024",Email Campaign,United states,phone,33,11.02,8,Yes,Yes,Yes,"Sep 09, 2024",Yes,15-09-2024,No,,No,,Pro,
102658,16-06-2025,Organic Search,England,DESKTOP,46,0,6,Yes,Yes,Yes,06/16/2025,No,,No,,No,,Basic,
102068,"Mar 28, 2025",Social Media,uk,DESKTOP,24,0,6,Yes,Yes,Yes,31-03-2025,No,,No,,No,,Enterprise,
101374,19-03-2025,Referral,IN,iPad,31,0,,Yes,Yes,Yes,21-03-2025,No,,No,,No,,Basic,
100764,03-09-2024,Social Media,,desktop,48,0,6,Yes,Yes,Yes,13-03-2024,Yes,18-03-2024,Yes,03/27/2024,Yes,"Apr 06, 2024",Basic,No
102279,28-03-2024,Social Media,us,PC,34,0,5,Yes,Yes,Yes,01-04-2024,Yes,01-04-2024,Yes,09-04-2024,No,,Basic,
106978,08-11-2025,Organic Search,U.S.A,iPad,35,0,8,Yes,Yes,Yes,10-11-2025,Yes,15-11-2025,No,,No,,Basic,
